,index,cases,Country
8,2022-01-29,2366.396326597229,South Africa
9,2022-01-30,2366.2348645675606,South Africa
0,2022-01-21,174238.96076466746,Italy
1,2022-01-22,176291.3964408316,Italy
2,2022-01-23,170768.72096594903,Italy
3,2022-01-24,176288.77229114177,Italy
4,2022-01-25,174963.8859320395,Italy
5,2022-01-26,167953.85254905015,Italy
6,2022-01-27,170530.11855641307,Italy
7,2022-01-28,167001.22932051975,Italy
8,2022-01-29,164946.29908479168,Italy
9,2022-01-30,164796.82059303488,Italy
0,2022-01-21,689.1815644494668,Singapore
1,2022-01-22,613.1235729547495,Singapore
2,2022-01-23,692.0206741929296,Singapore
3,2022-01-24,712.7885311581546,Singapore
4,2022-01-25,671.1348225805813,Singapore
5,2022-01-26,705.6336078418682,Singapore
6,2022-01-27,690.6833365711939,Singapore
7,2022-01-28,733.0792461466414,Singapore
8,2022-01-29,699.2930521280416,Singapore
9,2022-01-30,710.816335671439,Singapore
0,2022-01-21,8548.57571442509,Bangladesh
1,2022-01-22,8232.70190933075,Bangladesh
2,2022-01-23,8304.898651695888,Bangladesh
3,2022-01-24,8088.697906606588,Bangladesh
4,2022-01-25,8193.475811277603,Bangladesh
5,2022-01-26,7672.375017277651,Bangladesh
6,2022-01-27,7765.4977397257235,Bangladesh
7,2022-01-28,7385.947507179905,Bangladesh
8,2022-01-29,7625.170488270816,Bangladesh
9,2022-01-30,7541.364357491898,Bangladesh
0,2022-01-21,-2313.936146741217,Hong Kong
1,2022-01-22,-1317.7714707542425,Hong Kong
2,2022-01-23,-1404.5356353424872,Hong Kong
3,2022-01-24,1191.2637533441991,Hong Kong
4,2022-01-25,-120.75238895339577,Hong Kong
5,2022-01-26,680.7610419338224,Hong Kong
6,2022-01-27,2057.8202678910297,Hong Kong
7,2022-01-28,2864.2644071766017,Hong Kong
8,2022-01-29,2057.7712827157843,Hong Kong
9,2022-01-30,2124.8171514120086,Hong Kong
0,2022-01-21,86.43387419275271,Malta
1,2022-01-22,84.77330003500884,Malta
2,2022-01-23,86.36392101502487,Malta
3,2022-01-24,86.21350899372898,Malta
4,2022-01-25,86.65819229165,Malta
5,2022-01-26,86.13518493621439,Malta
6,2022-01-27,86.63805849987664,Malta
7,2022-01-28,88.30284712718222,Malta
8,2022-01-29,87.75379517796591,Malta
9,2022-01-30,85.94036079689829,Malta
0,2022-01-21,16171.741602378443,Poland
1,2022-01-22,16288.046590165352,Poland
2,2022-01-23,16220.143783174033,Poland
3,2022-01-24,16684.622003633292,Poland
4,2022-01-25,16613.1436115941,Poland
5,2022-01-26,16754.99182236077,Poland
6,2022-01-27,16768.66917385952,Poland
7,2022-01-28,17137.469829174664,Poland
8,2022-01-29,17009.169947258684,Poland
9,2022-01-30,16893.531116859936,Poland
0,2022-01-21,36187.92985921632,Belgium
1,2022-01-22,36621.46792487127,Belgium
2,2022-01-23,34941.83876351894,Belgium
3,2022-01-24,36919.96868814123,Belgium
4,2022-01-25,37008.87944747585,Belgium
5,2022-01-26,33908.12914137074,Belgium
6,2022-01-27,34118.11482699166,Belgium
7,2022-01-28,32916.04519314424,Belgium
8,2022-01-29,31754.344673741736,Belgium
9,2022-01-30,32250.095278920344,Belgium
0,2022-01-21,4589.561675178229,Saudi Arabia
1,2022-01-22,4665.633419849247,Saudi Arabia
2,2022-01-23,4526.489413749869,Saudi Arabia
3,2022-01-24,4726.142354883069,Saudi Arabia
4,2022-01-25,4694.234897803078,Saudi Arabia
5,2022-01-26,4513.139067945851,Saudi Arabia
6,2022-01-27,4543.655337536347,Saudi Arabia
7,2022-01-28,4535.4265843960675,Saudi Arabia
8,2022-01-29,4465.817215593327,Saudi Arabia
9,2022-01-30,4467.778818971792,Saudi Arabia
0,2022-01-21,377.3194939926663,Australia
1,2022-01-22,808.3153548541928,Australia
2,2022-01-23,667.6946599734918,Australia
3,2022-01-24,1526.3875194572086,Australia
4,2022-01-25,1171.575905531333,Australia
5,2022-01-26,1179.0200793386314,Australia
6,2022-01-27,1798.4743933126729,Australia
7,2022-01-28,1917.499512328133,Australia
8,2022-01-29,1925.4789865711914,Australia
9,2022-01-30,1858.3490981528942,Australia
0,2022-01-21,145947.8072581578,Spain
1,2022-01-22,145195.95169198245,Spain
2,2022-01-23,142723.40566878932,Spain
3,2022-01-24,143122.42120070194,Spain
4,2022-01-25,141809.78378336126,Spain
5,2022-01-26,139645.4714245077,Spain
6,2022-01-27,143682.72324349397,Spain
7,2022-01-28,139227.5621266937,Spain
8,2022-01-29,140029.9690879374,Spain
9,2022-01-30,138784.04437094662,Spain
0,2022-01-21,5659.435480802429,Lebanon
1,2022-01-22,5469.718622340739,Lebanon
2,2022-01-23,5506.715065387933,Lebanon
3,2022-01-24,5344.214465184015,Lebanon
4,2022-01-25,5352.499804853678,Lebanon
5,2022-01-26,5073.741882483874,Lebanon
6,2022-01-27,5108.789482463172,Lebanon
7,2022-01-28,4893.290370023841,Lebanon
8,2022-01-29,4921.496788711761,Lebanon
9,2022-01-30,4876.379183466283,Lebanon
0,2022-01-21,63139.57547108646,Turkey
1,2022-01-22,62239.44945085667,Turkey
2,2022-01-23,62238.616960027524,Turkey
3,2022-01-24,61886.24450811367,Turkey
4,2022-01-25,61908.9880887066,Turkey
5,2022-01-26,60231.962566128044,Turkey
6,2022-01-27,60896.85206049773,Turkey
7,2022-01-28,60149.40123932773,Turkey
8,2022-01-29,60719.54556004554,Turkey
9,2022-01-30,59918.14104459601,Turkey
0,2022-01-21,4546.216860539984,Cyprus
1,2022-01-22,4576.270814028705,Cyprus
2,2022-01-23,4466.70193924313,Cyprus
3,2022-01-24,4517.261315913066,Cyprus
4,2022-01-25,4465.471989725563,Cyprus
5,2022-01-26,4355.994913143539,Cyprus
6,2022-01-27,4442.338499230531,Cyprus
7,2022-01-28,4326.381233853926,Cyprus
8,2022-01-29,4356.574378856615,Cyprus
9,2022-01-30,4322.666408084501,Cyprus
0,2022-01-21,4991.285874063367,Brazil
1,2022-01-22,4837.281422749704,Brazil
2,2022-01-23,4974.726794013601,Brazil
3,2022-01-24,4923.61053621319,Brazil
4,2022-01-25,4953.558118835317,Brazil
5,2022-01-26,4917.151235372775,Brazil
6,2022-01-27,4930.78108597976,Brazil
7,2022-01-28,5024.803710662456,Brazil
8,2022-01-29,4993.705103523917,Brazil
9,2022-01-30,4889.027155108105,Brazil
0,2022-01-21,9059.913753039178,Czech Republic (the)
1,2022-01-22,9125.071432669842,Czech Republic (the)
2,2022-01-23,9087.030163519206,Czech Republic (the)
3,2022-01-24,9347.245341388925,Czech Republic (the)
4,2022-01-25,9307.20091803592,Czech Republic (the)
5,2022-01-26,9386.668707416131,Czech Republic (the)
6,2022-01-27,9394.3311860777,Czech Republic (the)
7,2022-01-28,9600.944809481634,Czech Republic (the)
8,2022-01-29,9529.067216253647,Czech Republic (the)
9,2022-01-30,9464.282738757363,Czech Republic (the)
0,2022-01-21,4676.952653324094,Malaysia
1,2022-01-22,4538.597212738987,Malaysia
2,2022-01-23,4637.383727898868,Malaysia
3,2022-01-24,4687.72146660565,Malaysia
4,2022-01-25,4601.023630162145,Malaysia
5,2022-01-26,4533.318448009739,Malaysia
6,2022-01-27,4492.297179765197,Malaysia
7,2022-01-28,4623.369894979913,Malaysia
8,2022-01-29,4643.431279351258,Malaysia
9,2022-01-30,4520.932085356462,Malaysia
0,2022-01-21,1383.4233229173299,Romania
1,2022-01-22,1393.372717152788,Romania
2,2022-01-23,1387.5639224544157,Romania
3,2022-01-24,1427.2980475084528,Romania
4,2022-01-25,1421.183376803035,Romania
5,2022-01-26,1433.3178845087386,Romania
6,2022-01-27,1434.4879234275102,Romania
7,2022-01-28,1466.0372420237914,Romania
8,2022-01-29,1455.0617359011856,Romania
9,2022-01-30,1445.1693285809386,Romania
0,2022-01-21,14626.707954616439,Canada
1,2022-01-22,14731.90126847536,Canada
2,2022-01-23,14670.485834591935,Canada
3,2022-01-24,15090.588223622091,Canada
4,2022-01-25,15025.938812870369,Canada
5,2022-01-26,15154.234973159244,Canada
6,2022-01-27,15166.605602797263,Canada
7,2022-01-28,15500.17137520439,Canada
8,2022-01-29,15384.129148613236,Canada
9,2022-01-30,15279.538348064756,Canada
0,2022-01-21,501.3814294879837,Pakistan
1,2022-01-22,504.9872972087867,Pakistan
2,2022-01-23,502.88206901057293,Pakistan
3,2022-01-24,517.2825436079193,Pakistan
4,2022-01-25,515.0664595732322,Pakistan
5,2022-01-26,519.4642579324423,Pakistan
6,2022-01-27,519.888304408985,Pakistan
7,2022-01-28,531.3224346532389,Pakistan
8,2022-01-29,527.3446826102115,Pakistan
